Name,Symbol,Sector
3M,MMM,Industrials
A. O. Smith,AOS,Industrials
Abbott,ABT,Health Care
AbbVie,ABBV,Health Care
Abiomed,ABMD,Health Care
Accenture,ACN,Information Technology
Activision Blizzard,ATVI,Communication Services
ADM,ADM,Consumer Staples
Adobe,ADBE,Information Technology
ADP,ADP,Information Technology
Advance Auto Parts,AAP,Consumer Discretionary
AES,AES,Utilities
Aflac,AFL,Financials
Agilent Technologies,A,Health Care
AIG,AIG,Financials
Air Products,APD,Materials
Akamai,AKAM,Information Technology
Alaska Air Group,ALK,Industrials
Albemarle,ALB,Materials
Alexandria Real Estate Equities,ARE,Real Estate
Align,ALGN,Health Care
Allegion,ALLE,Industrials
Alliant Energy,LNT,Utilities
Allstate,ALL,Financials
Alphabet (Class A),GOOGL,Communication Services
Alphabet (Class C),GOOG,Communication Services
Altria,MO,Consumer Staples
Amazon,AMZN,Consumer Discretionary
Amcor,AMCR,Materials
AMD,AMD,Information Technology
Ameren,AEE,Utilities
American Airlines Group,AAL,Industrials
American Electric Power,AEP,Utilities
American Express,AXP,Financials
American Tower,AMT,Real Estate
American Water,AWK,Utilities
Ameriprise Financial,AMP,Financials
AmerisourceBergen,ABC,Health Care
Ametek,AME,Industrials
Amgen,AMGN,Health Care
Amphenol,APH,Information Technology
Analog Devices,ADI,Information Technology
Ansys,ANSS,Information Technology
Anthem,ANTM,Health Care
Aon,AON,Financials
APA Corporation,APA,Energy
Apple,AAPL,Information Technology
Applied Materials,AMAT,Information Technology
Aptiv,APTV,Consumer Discretionary
Arista,ANET,Information Technology
Arthur J. Gallagher & Co.,AJG,Financials
Assurant,AIZ,Financials
AT&T,T,Communication Services
Atmos Energy,ATO,Utilities
Autodesk,ADSK,Information Technology
AutoZone,AZO,Consumer Discretionary
AvalonBay Communities,AVB,Real Estate
Avery Dennison,AVY,Materials
Baker Hughes,BKR,Energy
Ball,BLL,Materials
Bank of America,BAC,Financials
Bath & Body Works,BBWI,Consumer Discretionary
Baxter,BAX,Health Care
Becton Dickinson,BDX,Health Care
Berkshire Hathaway,BRK.B,Financials
Best Buy,BBY,Consumer Discretionary
Bio-Rad,BIO,Health Care
Bio-Techne,TECH,Health Care
Biogen,BIIB,Health Care
BlackRock,BLK,Financials
BNY Mellon,BK,Financials
Boeing,BA,Industrials
Booking Holdings,BKNG,Consumer Discretionary
BorgWarner,BWA,Consumer Discretionary
Boston Properties,BXP,Real Estate
Boston Scientific,BSX,Health Care
Bristol Myers Squibb,BMY,Health Care
Broadcom,AVGO,Information Technology
Broadridge,BR,Information Technology
Brown & Brown,BRO,Financials
Brown–Forman,BF.B,Consumer Staples
C. H. Robinson,CHRW,Industrials
Cadence,CDNS,Information Technology
Caesars Entertainment,CZR,Consumer Discretionary
Campbell's,CPB,Consumer Staples
Capital One,COF,Financials
Cardinal Health,CAH,Health Care
CarMax,KMX,Consumer Discretionary
Carnival Corporation,CCL,Consumer Discretionary
Carrier Global,CARR,Industrials
Catalent,CTLT,Health Care
Caterpillar,CAT,Industrials
Cboe,CBOE,Financials
CBRE,CBRE,Real Estate
CDW,CDW,Information Technology
Celanese,CE,Materials
Centene,CNC,Health Care
CenterPoint Energy,CNP,Utilities
Ceridian,CDAY,Information Technology
Cerner,CERN,Health Care
CF Industries,CF,Materials
Charles River,CRL,Health Care
Charles Schwab,SCHW,Financials
Charter Communications,CHTR,Communication Services
Chevron,CVX,Energy
Chipotle Mexican Grill,CMG,Consumer Discretionary
Chubb,CB,Financials
Church & Dwight,CHD,Consumer Staples
Cigna,CI,Health Care
Cincinnati Financial,CINF,Financials
Cintas,CTAS,Industrials
Cisco,CSCO,Information Technology
Citigroup,C,Financials
Citizens Financial Group,CFG,Financials
Citrix,CTXS,Information Technology
Clorox,CLX,Consumer Staples
CME Group,CME,Financials
CMS Energy,CMS,Utilities
Coca-Cola,KO,Consumer Staples
Cognizant,CTSH,Information Technology
Colgate-Palmolive,CL,Consumer Staples
Comcast,CMCSA,Communication Services
Comerica,CMA,Financials
Conagra Brands,CAG,Consumer Staples
ConocoPhillips,COP,Energy
Con Edison,ED,Utilities
Constellation Brands,STZ,Consumer Staples
CooperCompanies,COO,Health Care
Copart,CPRT,Industrials
Corning,GLW,Information Technology
Corteva,CTVA,Materials
Costco,COST,Consumer Staples
Coterra,CTRA,Energy
Crown Castle,CCI,Real Estate
CSX,CSX,Industrials
Cummins,CMI,Industrials
CVS Health,CVS,Health Care
D. R. Horton,DHI,Consumer Discretionary
Danaher,DHR,Health Care
